UNITID,LAT,LNG
100654,34.7936653,-86.57152880000001
100663,33.4990618,-86.816598
100706,34.7234403,-86.6440418
100724,32.3650918,-86.2956923
100751,33.2140233,-87.5391418
100760,32.9244497,-85.94710859999999
100858,32.6098566,-85.48078249999999
100937,33.5162196,-86.8500962
101073,32.4253947,-87.0177618
101116,32.342729,-86.216402
101143,31.29836269999999,-85.83642290000002
101161,30.8516559,-87.7773586
101189,32.38258,-86.218042
101240,33.9959754,-85.9917038
101286,31.3156396,-85.4666895
101295,34.0598451,-86.7695439
101301,32.4382251,-87.0144619
101435,32.350121,-86.285427
101453,34.8560265,-87.66270879999999
101462,34.7707819,-86.575943
101471,32.5812498,-86.3910341
101480,33.8301421,-85.7608169
101499,31.1012658,-87.08539859999999
101505,33.6518095,-86.70808760000001
101514,34.6493462,-86.9488724
101541,32.62991969999999,-87.3185795
101569,33.4510099,-86.88955
101602,31.319973,-86.4511053
101675,33.480831,-86.90826799999999
101693,30.7964605,-88.1241048
101709,33.5350615,-86.5660626
101736,34.7400193,-87.6776802
101879,34.8078404,-87.680476
101897,34.4930954,-85.8454024
101912,34.7529622,-86.6485379
101949,31.487996,-87.325121
101958,41.9286976,-87.96341989999999
101994,31.43565689999999,-86.95609170000002
102030,30.695495,-88.05565299999999
102049,33.465659,-86.7919957
102067,33.1210689,-87.56198719999999
102076,34.2015775,-86.16988769999999
102094,30.6954258,-88.1752139
102234,30.6870019,-88.1354984
102298,33.4327519,-86.1135613
102313,32.350042,-86.34314599999999
102368,31.7972059,-85.9517144
102377,32.430112,-85.70669099999999
102429,33.836824,-87.26602899999999
102669,61.18949000000001,-149.8066265
103893,33.5615678,-112.1160553
104151,33.4219437,-111.9400636
104160,32.688474,-114.4948775
104179,32.2327247,-110.9508944
104346,32.9577551,-111.6521557
104425,31.3713602,-109.6895915
104577,32.8433772,-109.7618877
105206,35.2686371,-114.0290679
105330,None,None
105349,34.9278449,-110.1428484
105525,32.2220444,-110.8865324
105534,32.2501705,-110.9213716
105543,35.1048203,-106.5947788
105589,34.5448304,-112.4766192
105659,33.4484972,-111.989313
106041,33.4528335,-112.2877665
106148,34.5480888,-112.4559107
106245,34.7216432,-92.3415717
106306,34.73486380000001,-92.29049680000001
106342,35.7792058,-91.6283696
106397,36.0699791,-94.17697249999999
106412,None,None
106449,35.0704545,-91.8951177
106458,35.8488195,-90.6664838
106467,35.293186,-93.135701
106485,33.6297981,-91.80223960000001
106625,36.2398243,-90.95139300000001
106704,35.079147,-92.454256
106713,35.0831613,-92.44488009999999
106795,34.043468,-94.36825089999999
106810,36.066437,-90.584504
106883,35.0416201,-90.7677515
106980,34.5143126,-93.1197261
106999,35.792075,-91.617329
107044,35.2486511,-91.72653050000001
107071,34.1261026,-93.05873
107080,35.1015319,-92.4432029
107141,36.1915718,-94.5586525
107318,35.1456656,-90.2238067
107327,35.8986758,-89.91882799999999
107460,36.2206258,-93.08883829999999
107512,34.125017,-93.0527941
107549,36.0537976,-91.8970003
107558,35.4758733,-93.4662254
107585,35.1719646,-92.72951309999999
107600,34.73715019999999,-92.2829963
107619,34.5456561,-90.6169707
107637,34.2099166,-92.02702149999999
107664,34.78200229999999,-92.2994751
107725,33.6439078,-93.5932551
107743,34.591978,-94.22015139999999
107877,36.12458609999999,-90.93904979999999
107974,33.209832,-92.6655001
107983,33.2931401,-93.2321511
107992,33.6322452,-92.7177303
108092,35.3848407,-94.3726531
108232,37.7879584,-122.4004678
108807,34.9437354,-120.4215218
108852,34.0953776,-118.343701
109651,34.1687088,-118.18513
109785,34.1291939,-117.8890242
110097,33.9057332,-118.0179863
110246,39.647498,-121.6450627
110361,33.9284053,-117.4255589
110370,37.7673765,-122.399486
110404,34.1356666,-118.12724
110413,34.2244935,-118.8772454
110422,35.3004871,-120.6578793
110486,35.350918,-119.1034303
110495,37.5250729,-120.8553947
110510,34.1781636,-117.3221477
110529,34.0597917,-117.8195142
110538,39.726328,-121.839373
110547,33.8653106,-118.2590121
110556,36.8108284,-119.7462226
110565,33.8791104,-117.8835005
110574,37.6571283,-122.0567449
110583,33.7830608,-118.1148909
110592,34.0667698,-118.1684392
110608,34.237378,-118.5281711
110617,38.5581817,-121.4214723
110635,37.8696688,-122.2516197
110644,38.5398745,-121.7548688
110653,33.6484038,-117.8412259
110662,34.0725988,-118.439277
110671,33.9754243,-117.3315961
110680,32.8800604,-117.2340135
110705,34.4162819,-119.8464146
110714,37.000369,-122.0632371
111009,37.7656301,-122.4029238
111081,34.3929413,-118.5678283
111948,33.7930016,-117.8524805
112075,33.6545502,-117.8123154
112190,37.724695,-122.4529324
112260,34.1020742,-117.7064979
112446,32.8219763,-117.1363102
112826,37.968654,-122.340449
113634,37.9685658,-122.0712718
113698,37.9798523,-122.5134504
113856,34.0411583,-118.1509885
114354,34.0441185,-118.2600399
114789,36.7681866,-119.7971561
114813,36.725459,-119.73422
115409,34.1061112,-117.7089441
115728,37.8029258,-122.186977
115755,40.8770251,-124.0791468
115773,38.0114709,-121.31614
116846,34.1287275,-118.4719173
117052,36.6063848,-119.4610896
117104,34.0987652,-117.829457
117140,34.1008542,-117.7732346
117627,33.9107229,-117.5001118
117690,33.784208,-118.2837149
117706,34.1836461,-118.5801782
117715,33.9307202,-118.3062636
117724,34.0325515,-118.2697468
117733,34.1757062,-118.4201438
117751,34.3817734,-118.5175513
117788,34.0892322,-118.292904
117867,34.3151143,-118.4200526
117894,38.005398,-121.8603083
117928,37.7794949,-122.414318
117946,33.9708101,-118.4193224
118198,38.6610193,-121.3423283
118259,38.64453719999999,-121.380696
118286,33.1724977,-117.2206689
118541,33.7349893,-118.3335466
118693,37.4560638,-122.1920741
118888,37.7773714,-122.1842278
118967,34.1830675,-118.396597
119164,34.0451762,-117.846611
119173,34.0839639,-118.4815446
119270,34.1012311,-118.3375882
120184,37.5173394,-122.2867436
120254,34.1273233,-118.2102962
120403,33.9562658,-118.4173143
120883,37.979749,-121.3092132
121044,34.1431011,-118.1203829
121150,34.0390661,-118.7056781
121257,34.1036159,-117.7038664
121275,32.763744,-117.063475
121309,32.7183123,-117.2502505
121345,34.099078,-117.7145536
121691,34.0624622,-117.163147
122366,33.1228816,-117.2832261
122409,32.7747307,-117.0693867
122436,32.7720928,-117.1888956
122506,37.7754682,-122.4203388
122597,37.7227669,-122.4767213
122612,37.7765426,-122.4506452
122685,36.3277836,-119.3850689
122728,38.8196946,-121.2925145
122755,37.3351424,-121.8812758
122931,37.3499438,-121.9406449
123165,34.1033704,-117.7113434
123554,37.8413472,-122.1101353
123572,38.3401919,-122.6741261
123642,33.7883358,-117.8740446
123679,33.7747268,-117.9383555
123961,34.0309703,-118.2789735
124292,34.4293241,-119.0887955
124937,34.1863481,-118.4035766
125471,34.0045161,-118.389176
125532,38.5560444,-121.371533
125727,34.4499976,-119.659539
125763,33.9787488,-118.0322857
125897,34.2076585,-118.3412543
126182,37.470375,-105.880064
126289,39.6083162,-105.0190322
126359,39.68615399999999,-104.875901
126562,39.74602489999999,-104.999083
126580,38.88914,-104.7882856
126605,39.9149962,-105.1180767
126614,40.0034113,-105.2677661
126669,39.711362,-105.0945143
126678,38.847021,-104.823665
126702,39.7355892,-104.9857774
126748,40.078161,-108.7896131
126784,39.7418468,-105.1042432
126818,40.5747743,-105.0807267
126827,38.8942226,-104.8342439
126863,39.7172096,-104.802555
126942,39.7412269,-105.0013295
126951,39.776513,-104.856172
127060,39.6766368,-104.9614844
127185,37.2763114,-107.8673064
127200,39.9014731,-105.0378855
127316,38.9140953,-104.787275
127389,38.0680924,-102.6163474
127556,39.0788975,-108.5541176
127565,39.7400226,-104.9980469
127617,40.2587361,-103.7719175
127680,38.9522214,-104.7906562
127732,40.6361666,-103.1986767
127741,40.3935699,-104.7443041
127778,37.9714393,-103.5432222
127820,38.7646232,-104.7862045
127884,38.2630749,-104.6371726
127909,39.7202119,-105.1497613
127945,39.7433612,-105.0699434
128106,38.3070163,-104.5796393
128188,39.1162666,-108.5306405
128258,37.1732795,-104.5146953
128391,38.5460344,-106.9173511
128577,42.0000268,-72.5697849
128683,41.6304329,-72.92032999999999
128744,41.164718,-73.1903141
128771,41.6931908,-72.76384929999999
128902,41.3797492,-72.104343
129020,41.8088143,-72.2498767
129215,41.7188674,-72.2190755
129242,41.15388670000001,-73.2580608
129367,41.7681975,-72.6728629
129525,41.7986018,-72.7140108
129543,41.1752562,-73.191795
129695,41.76226459999999,-72.56707229999999
129729,41.54932900000001,-73.07355299999999
129756,41.5391632,-72.6107534
129774,41.3272135,-72.0924139
129808,41.5097761,-72.1044154
129941,41.2922692,-72.9607972
130004,41.102614,-73.450294
130040,41.9220184,-73.0596553
130110,41.3476067,-72.9353899
