DATE,CUUR0000SA0R
1992-01-01,72.400
1992-02-01,72.200
1992-03-01,71.800
1992-04-01,71.700
1992-05-01,71.600
1992-06-01,71.300
1992-07-01,71.200
1992-08-01,71.000
1992-09-01,70.800
1992-10-01,70.500
1992-11-01,70.400
1992-12-01,70.500
1993-01-01,70.100
1993-02-01,69.900
1993-03-01,69.700
1993-04-01,69.500
1993-05-01,69.300
1993-06-01,69.300
1993-07-01,69.200
1993-08-01,69.000
1993-09-01,68.900
1993-10-01,68.600
1993-11-01,68.600
1993-12-01,68.600
1994-01-01,68.400
1994-02-01,68.200
1994-03-01,67.900
1994-04-01,67.900
1994-05-01,67.800
1994-06-01,67.600
1994-07-01,67.400
1994-08-01,67.100
1994-09-01,66.900
1994-10-01,66.900
1994-11-01,66.800
1994-12-01,66.800
1995-01-01,66.500
1995-02-01,66.300
1995-03-01,66.000
1995-04-01,65.800
1995-05-01,65.700
1995-06-01,65.600
1995-07-01,65.600
1995-08-01,65.400
1995-09-01,65.300
1995-10-01,65.100
1995-11-01,65.100
1995-12-01,65.100
1996-01-01,64.800
1996-02-01,64.500
1996-03-01,64.200
1996-04-01,64.000
1996-05-01,63.900
1996-06-01,63.800
1996-07-01,63.700
1996-08-01,63.600
1996-09-01,63.400
1996-10-01,63.200
1996-11-01,63.100
1996-12-01,63.100
1997-01-01,62.800
1997-02-01,62.600
1997-03-01,62.500
1997-04-01,62.400
1997-05-01,62.500
1997-06-01,62.400
1997-07-01,62.300
1997-08-01,62.200
1997-09-01,62.000
1997-10-01,61.900
1997-11-01,61.900
1997-12-01,62.000
1998-01-01,61.900
1998-02-01,61.800
1998-03-01,61.700
1998-04-01,61.500
1998-05-01,61.400
1998-06-01,61.400
1998-07-01,61.300
1998-08-01,61.200
1998-09-01,61.100
1998-10-01,61.000
1998-11-01,61.000
1998-12-01,61.000
1999-01-01,60.800
1999-02-01,60.800
1999-03-01,60.600
1999-04-01,60.200
1999-05-01,60.200
1999-06-01,60.200
1999-07-01,60.000
1999-08-01,59.800
1999-09-01,59.600
1999-10-01,59.400
1999-11-01,59.400
1999-12-01,59.400
2000-01-01,59.200
2000-02-01,58.900
2000-03-01,58.400
2000-04-01,58.400
2000-05-01,58.300
2000-06-01,58.000
2000-07-01,57.900
2000-08-01,57.900
2000-09-01,57.600
2000-10-01,57.500
2000-11-01,57.400
2000-12-01,57.500
2001-01-01,57.100
2001-02-01,56.900
2001-03-01,56.700
2001-04-01,56.500
2001-05-01,56.300
2001-06-01,56.200
2001-07-01,56.300
2001-08-01,56.300
2001-09-01,56.100
2001-10-01,56.300
2001-11-01,56.400
2001-12-01,56.600
2002-01-01,56.500
2002-02-01,56.200
2002-03-01,55.900
2002-04-01,55.600
2002-05-01,55.600
2002-06-01,55.600
2002-07-01,55.500
2002-08-01,55.400
2002-09-01,55.300
2002-10-01,55.200
2002-11-01,55.200
2002-12-01,55.300
2003-01-01,55.000
2003-02-01,54.600
2003-03-01,54.300
2003-04-01,54.400
2003-05-01,54.500
2003-06-01,54.400
2003-07-01,54.400
2003-08-01,54.200
2003-09-01,54.000
2003-10-01,54.000
2003-11-01,54.200
2003-12-01,54.300
2004-01-01,54.000
2004-02-01,53.700
2004-03-01,53.400
2004-04-01,53.200
2004-05-01,52.900
2004-06-01,52.700
2004-07-01,52.800
2004-08-01,52.800
2004-09-01,52.700
2004-10-01,52.400
2004-11-01,52.400
2004-12-01,52.500
2005-01-01,52.400
2005-02-01,52.100
2005-03-01,51.700
2005-04-01,51.400
2005-05-01,51.400
2005-06-01,51.400
2005-07-01,51.200
2005-08-01,50.900
2005-09-01,50.300
2005-10-01,50.200
2005-11-01,50.600
2005-12-01,50.800
2006-01-01,50.400
2006-02-01,50.300
2006-03-01,50.000
2006-04-01,49.600
2006-05-01,49.400
2006-06-01,49.300
2006-07-01,49.100
