Date,Open,High,Low,Close,Adj Close,Volume
1992-01-01,6.780000,6.850000,6.760000,6.760000,6.760000,0
1992-01-08,6.770000,7.030000,6.770000,7.030000,7.030000,0
1992-01-15,7.050000,7.130000,7.030000,7.030000,7.030000,0
1992-01-22,7.090000,7.250000,7.090000,7.160000,7.160000,0
1992-01-29,7.250000,7.360000,7.250000,7.290000,7.290000,0
1992-02-05,7.210000,7.230000,7.200000,7.230000,7.230000,0
1992-02-12,7.300000,7.470000,7.300000,7.470000,7.470000,0
1992-02-19,7.420000,7.470000,7.410000,7.440000,7.440000,0
1992-02-26,7.330000,7.430000,7.270000,7.430000,7.430000,0
1992-03-04,7.430000,7.510000,7.420000,7.430000,7.430000,0
1992-03-11,7.510000,7.710000,7.510000,7.620000,7.620000,0
1992-03-18,7.620000,7.640000,7.530000,7.530000,7.530000,0
1992-03-25,7.530000,7.570000,7.530000,7.540000,7.540000,0
1992-04-01,7.460000,7.470000,7.410000,7.410000,7.410000,0
1992-04-08,7.440000,7.440000,7.330000,7.350000,7.350000,0
1992-04-15,7.370000,7.590000,7.370000,7.580000,7.580000,0
1992-04-22,7.570000,7.600000,7.550000,7.570000,7.570000,0
1992-04-29,7.600000,7.610000,7.560000,7.560000,7.560000,0
1992-05-06,7.460000,7.490000,7.360000,7.360000,7.360000,0
1992-05-13,7.340000,7.340000,7.200000,7.200000,7.200000,0
1992-05-20,7.250000,7.460000,7.250000,7.460000,7.460000,0
1992-05-27,7.440000,7.440000,7.330000,7.350000,7.350000,0
1992-06-03,7.340000,7.340000,7.310000,7.330000,7.330000,0
1992-06-10,7.350000,7.350000,7.240000,7.240000,7.240000,0
1992-06-17,7.230000,7.250000,7.190000,7.250000,7.250000,0
1992-06-24,7.200000,7.200000,7.120000,7.140000,7.140000,0
1992-07-01,7.100000,7.100000,6.870000,6.870000,6.870000,0
1992-07-08,6.910000,6.970000,6.910000,6.970000,6.970000,0
1992-07-15,6.900000,6.900000,6.870000,6.890000,6.890000,0
1992-07-22,6.850000,6.850000,6.630000,6.630000,6.630000,0
1992-07-29,6.600000,6.720000,6.600000,6.660000,6.660000,0
1992-08-05,6.640000,6.650000,6.500000,6.500000,6.500000,0
1992-08-12,6.480000,6.560000,6.480000,6.480000,6.480000,0
1992-08-19,6.470000,6.730000,6.460000,6.730000,6.730000,0
1992-08-26,6.680000,6.680000,6.560000,6.560000,6.560000,0
1992-09-02,6.540000,6.540000,6.290000,6.290000,6.290000,0
1992-09-09,6.310000,6.400000,6.310000,6.400000,6.400000,0
1992-09-16,6.410000,6.500000,6.400000,6.500000,6.500000,0
1992-09-23,6.540000,6.540000,6.370000,6.370000,6.370000,0
1992-09-30,6.370000,6.370000,6.230000,6.300000,6.300000,0
1992-10-07,6.460000,6.520000,6.410000,6.510000,6.510000,0
1992-10-14,6.510000,6.860000,6.510000,6.860000,6.860000,0
1992-10-21,6.800000,6.830000,6.740000,6.780000,6.780000,0
1992-10-28,6.760000,6.880000,6.710000,6.870000,6.870000,0
1992-11-04,6.890000,7.000000,6.870000,6.910000,6.910000,0
1992-11-11,6.790000,6.900000,6.790000,6.860000,6.860000,0
1992-11-18,6.780000,6.860000,6.780000,6.820000,6.820000,0
1992-11-25,6.840000,6.950000,6.840000,6.940000,6.940000,0
1992-12-02,6.930000,6.930000,6.730000,6.730000,6.730000,0
1992-12-09,6.760000,6.830000,6.760000,6.830000,6.830000,0
1992-12-16,6.770000,6.770000,6.650000,6.650000,6.650000,0
1992-12-23,6.680000,6.720000,6.680000,6.690000,6.690000,0
1992-12-30,6.680000,6.700000,6.600000,6.610000,6.610000,0
1993-01-06,6.630000,6.760000,6.630000,6.720000,6.720000,0
1993-01-13,6.710000,6.710000,6.590000,6.590000,6.590000,0
1993-01-20,6.610000,6.610000,6.480000,6.500000,6.500000,0
1993-01-27,6.480000,6.480000,6.380000,6.460000,6.460000,0
1993-02-03,6.450000,6.450000,6.320000,6.410000,6.410000,0
1993-02-10,6.400000,6.400000,6.340000,6.340000,6.340000,0
1993-02-17,6.280000,6.280000,5.920000,5.920000,5.920000,0
1993-02-24,6.010000,6.030000,5.940000,5.950000,5.950000,0
1993-03-03,5.880000,5.910000,5.830000,5.910000,5.910000,0
1993-03-10,5.970000,6.170000,5.960000,6.060000,6.060000,0
1993-03-17,6.020000,6.020000,5.910000,5.910000,5.910000,0
1993-03-24,5.950000,6.090000,5.950000,6.020000,6.020000,0
1993-03-31,6.030000,6.160000,6.030000,6.080000,6.080000,0
1993-04-07,6.070000,6.070000,5.920000,5.930000,5.930000,0
1993-04-14,5.900000,5.900000,5.870000,5.870000,5.870000,0
1993-04-21,5.860000,6.020000,5.850000,6.020000,6.020000,0
1993-04-28,6.030000,6.050000,5.920000,5.920000,5.920000,0
1993-05-05,5.930000,5.930000,5.890000,5.890000,5.890000,0
1993-05-12,5.960000,6.150000,5.960000,6.150000,6.150000,0
1993-05-19,6.110000,6.170000,6.090000,6.170000,6.170000,0
1993-05-26,6.120000,6.160000,6.070000,6.070000,6.070000,0
1993-06-02,6.060000,6.110000,6.020000,6.090000,6.090000,0
1993-06-09,6.070000,6.070000,5.960000,5.960000,5.960000,0
1993-06-16,5.960000,5.970000,5.910000,5.910000,5.910000,0
1993-06-23,5.910000,5.910000,5.790000,5.790000,5.790000,0
1993-06-30,5.800000,5.800000,5.760000,5.800000,5.800000,0
1993-07-07,5.800000,5.800000,5.750000,5.780000,5.780000,0
1993-07-14,5.720000,5.750000,5.710000,5.750000,5.750000,0
1993-07-21,5.830000,5.950000,5.830000,5.920000,5.920000,0
1993-07-28,5.900000,5.900000,5.810000,5.830000,5.830000,0
