,en2016,en2015,en2014,en2013,en2012,en2011,en2010,en2009,en2008,en2007,en2006,en2005,en2004,en2003,en2002,en2001,UNITID
100654,12314.0,11744.0,11182.0,11026.0,11114.0,12776.0,12346.0,12298.0,12870.0,13858.0,14156.0,18902.0,15276.0,14224.0,13508.0,6310.0,100654
100663,43108.0,43440.0,42658.0,42392.0,41784.0,41294.0,40790.0,38910.0,38982.0,40056.0,40360.0,40956.0,40638.0,39056.0,36768.0,18959.0,100663
100706,18412.0,17176.0,17242.0,17456.0,18018.0,17952.0,18204.0,17690.0,17266.0,16922.0,16846.0,16732.0,16958.0,16908.0,17458.0,8585.0,100706
100724,12202.0,12522.0,13984.0,13564.0,12736.0,13034.0,13250.0,13612.0,13676.0,13166.0,13306.0,13790.0,14598.0,14990.0,13664.0,6664.0,100724
100751,83014.0,80536.0,77836.0,74440.0,70616.0,67362.0,61226.0,60280.0,56818.0,54234.0,50190.0,48090.0,47186.0,46212.0,44666.0,21973.0,100751
100760,4758.0,4878.0,5234.0,5466.0,6478.0,6822.0,6846.0,6452.0,6056.0,6348.0,5944.0,5778.0,6162.0,5524.0,5192.0,2118.0,100760
100812,8248.0,8608.0,8782.0,9400.0,9380.0,9564.0,9836.0,9336.0,8888.0,8176.0,7680.0,7048.0,7158.0,6382.0,7034.0,3664.0,100812
100830,11992.0,12388.0,12536.0,12346.0,13212.0,14238.0,14454.0,13318.0,13484.0,13232.0,13460.0,14098.0,14608.0,14594.0,13614.0,5994.0,100830
100858,58474.0,55522.0,53110.0,53412.0,54092.0,53680.0,52928.0,52442.0,51744.0,50664.0,50406.0,49734.0,49818.0,50202.0,49546.0,24125.0,100858
100937,2764.0,2470.0,2450.0,2512.0,2708.0,3188.0,3222.0,3056.0,2942.0,2682.0,2940.0,3152.0,2776.0,2776.0,2814.0,1424.0,100937
101028,4722.0,5080.0,5174.0,5142.0,5000.0,5050.0,5474.0,6122.0,5954.0,6190.0,6366.0,5754.0,6178.0,6264.0,5908.0,2760.0,101028
101073,1076.0,1236.0,1394.0,1454.0,1698.0,1548.0,1456.0,1406.0,1272.0,1906.0,1810.0,2136.0,2092.0,1962.0,2692.0,967.0,101073
101116,1990.0,2164.0,2326.0,2562.0,2454.0,2706.0,2146.0,1846.0,1736.0,1512.0,1352.0,1454.0,1278.0,1026.0,942.0,374.0,101116
101143,5290.0,5610.0,6530.0,6714.0,7462.0,8206.0,8224.0,7198.0,6492.0,6040.0,5356.0,5394.0,5916.0,5036.0,5032.0,2522.0,101143
101161,13718.0,13576.0,13270.0,13084.0,13524.0,13692.0,13114.0,9424.0,10866.0,10128.0,8446.0,9544.0,6470.0,10062.0,9226.0,4320.0,101161
101189,8632.0,8250.0,7776.0,8126.0,8684.0,7922.0,8150.0,8410.0,7506.0,7422.0,6724.0,7594.0,6438.0,7152.0,7488.0,3878.0,101189
101240,14178.0,15182.0,16584.0,16738.0,18964.0,19898.0,20038.0,17934.0,16454.0,15708.0,16132.0,16762.0,17658.0,15258.0,16174.0,7799.0,101240
101286,12920.0,13388.0,13018.0,12830.0,13746.0,13984.0,13682.0,11970.0,10880.0,10060.0,10206.0,10476.0,7386.0,10884.0,12916.0,5664.0,101286
