,gr2016,gr2015,gr2014,gr2013,gr2012,gr2011,gr2010,gr2009,gr2008,gr2007,gr2006,gr2005,gr2004,gr2003,gr2002,gr2001,UNITID
100654,5955.0,5852.0,5956.0,4924.0,6395.0,6130.0,5178.0,5341.0,4485.0,4494.0,4428.0,4753.0,4289.0,3567.0,3976.0,3923.0,100654
100663,9329.0,9110.0,7616.0,8394.0,8857.0,8947.0,8039.0,8369.0,7317.0,6090.0,6059.0,5380.0,5347.0,5585.0,6032.0,4742.0,100663
100706,3584.0,4634.0,4531.0,4529.0,4763.0,3698.0,3539.0,4230.0,3406.0,3212.0,3143.0,2548.0,2329.0,1880.0,2240.0,1663.0,100706
100724,5922.0,6711.0,7350.0,7435.0,7174.0,6618.0,4657.0,4717.0,5393.0,5169.0,4210.0,4591.0,4506.0,3670.0,5152.0,4675.0,100724
100751,34833.0,32204.0,31698.0,28271.0,27317.0,23185.0,20089.0,17020.0,15567.0,14364.0,17493.0,14845.0,14494.0,14171.0,13348.0,13414.0,100751
100760,1413.0,1633.0,1963.0,1928.0,1949.0,1589.0,1359.0,1433.0,1150.0,866.0,1213.0,1097.0,988.0,998.0,975.0,896.0,100760
100858,27255.0,25259.0,25457.0,26483.0,25920.0,26435.0,21883.0,22050.0,24436.0,22073.0,23201.0,20445.0,20704.0,18479.0,22650.0,20546.0,100858
100937,2342.0,2638.0,2828.0,2804.0,1833.0,1974.0,2033.0,2082.0,1912.0,2261.0,1742.0,1950.0,1788.0,1921.0,1908.0,1628.0,100937
101073,1021.0,640.0,884.0,836.0,1422.0,1185.0,781.0,638.0,1077.0,725.0,573.0,639.0,729.0,448.0,545.0,657.0,101073
101116,205.0,294.0,220.0,260.0,207.0,236.0,121.0,185.0,124.0,99.0,99.0,114.0,144.0,84.0,97.0,147.0,101116
101143,1135.0,945.0,1567.0,1713.0,1987.0,1809.0,1483.0,1356.0,968.0,939.0,1059.0,873.0,803.0,822.0,763.0,1025.0,101143
101161,3545.0,3318.0,2951.0,3431.0,3608.0,2969.0,2597.0,2403.0,2013.0,2062.0,1884.0,2060.0,2129.0,2151.0,1785.0,1594.0,101161
101189,1250.0,1391.0,1222.0,1602.0,1150.0,968.0,897.0,1162.0,868.0,945.0,831.0,999.0,1130.0,1066.0,882.0,770.0,101189
101240,3784.0,3330.0,4485.0,5013.0,5291.0,4461.0,3235.0,2748.0,2824.0,2715.0,2938.0,3021.0,3243.0,2280.0,2121.0,2591.0,101240
101286,2790.0,2768.0,3126.0,3045.0,3119.0,2856.0,2079.0,2105.0,1752.0,1915.0,1875.0,2076.0,2244.0,1833.0,1464.0,1194.0,101286
101295,3636.0,3547.0,3102.0,3738.0,3802.0,3714.0,2831.0,2558.0,2162.0,2000.0,2388.0,2602.0,2412.0,1409.0,1673.0,1987.0,101295
101301,1238.0,1091.0,1268.0,1436.0,1605.0,1407.0,1085.0,1012.0,1031.0,838.0,814.0,844.0,1053.0,734.0,889.0,947.0,101301
101435,1568.0,1381.0,1493.0,1507.0,1270.0,1117.0,940.0,981.0,855.0,734.0,773.0,777.0,929.0,1009.0,1116.0,800.0,101435
101453,24.0,25.0,24.0,5.0,10.0,20.0,17.0,6.0,27.0,16.0,32.0,24.0,19.0,53.0,27.0,40.0,101453
101462,463.0,401.0,524.0,789.0,796.0,651.0,361.0,370.0,352.0,405.0,401.0,452.0,370.0,259.0,252.0,412.0,101462
101471,951.0,784.0,1051.0,1137.0,1161.0,1242.0,810.0,732.0,514.0,602.0,540.0,586.0,428.0,594.0,662.0,340.0,101471
101480,7114.0,6858.0,6963.0,7032.0,6162.0,6306.0,4395.0,4592.0,5219.0,3955.0,3750.0,3559.0,3500.0,3570.0,4648.0,3690.0,101480
101499,876.0,1023.0,968.0,942.0,1207.0,1194.0,900.0,981.0,757.0,859.0,972.0,949.0,981.0,703.0,877.0,656.0,101499
101505,3336.0,3318.0,3916.0,4036.0,3250.0,3402.0,2267.0,2179.0,2188.0,1990.0,1965.0,1744.0,1764.0,1598.0,1695.0,1684.0,101505
101514,4094.0,4511.0,4291.0,4669.0,4576.0,3916.0,3077.0,2953.0,2432.0,2369.0,2548.0,2253.0,2843.0,2028.0,2134.0,2456.0,101514
101541,527.0,396.0,557.0,459.0,385.0,455.0,315.0,363.0,535.0,557.0,453.0,461.0,504.0,454.0,666.0,383.0,101541
101569,1930.0,2051.0,2822.0,3709.0,3565.0,2685.0,1864.0,1651.0,1655.0,1889.0,1915.0,1220.0,983.0,962.0,830.0,649.0,101569
101587,1700.0,1506.0,1739.0,1837.0,1959.0,2034.0,1253.0,1516.0,1302.0,1441.0,1566.0,1470.0,1642.0,1482.0,1864.0,2013.0,101587
101602,1512.0,1280.0,1288.0,1502.0,1239.0,1028.0,1162.0,870.0,904.0,1329.0,1624.0,1390.0,1135.0,678.0,814.0,710.0,101602
101675,1829.0,2118.0,2505.0,2640.0,1871.0,2097.0,1708.0,1329.0,1449.0,1453.0,2320.0,1833.0,2158.0,2358.0,2432.0,1469.0,101675
101693,1387.0,1349.0,1438.0,1244.0,1272.0,1464.0,1321.0,1113.0,988.0,1004.0,1069.0,1077.0,846.0,892.0,1230.0,1047.0,101693
101709,2549.0,2411.0,2985.0,2849.0,2780.0,2852.0,2260.0,2521.0,2531.0,2550.0,2341.0,2862.0,2394.0,2339.0,2844.0,2637.0,101709
101736,2170.0,2304.0,2417.0,2644.0,2936.0,2285.0,1603.0,1703.0,1487.0,1708.0,1769.0,2119.0,1853.0,1917.0,1749.0,1716.0,101736
101879,5641.0,6124.0,5708.0,5773.0,5753.0,5448.0,4374.0,4195.0,4194.0,4358.0,4298.0,4151.0,4282.0,3835.0,4828.0,3856.0,101879
101897,1828.0,2188.0,2348.0,2302.0,2957.0,2002.0,1620.0,1647.0,894.0,691.0,1115.0,934.0,1000.0,1158.0,1009.0,910.0,101897
101912,2702.0,2298.0,2847.0,2617.0,2246.0,2314.0,1989.0,1891.0,1512.0,1877.0,2041.0,1898.0,1999.0,1840.0,2040.0,1562.0,101912
