,UNITID,TYPE,gr2016,gr2015,gr2014,gr2013,gr2012,gr2011,gr2010,gr2009,gr2008,gr2007,gr2006,gr2005,gr2004,gr2003,gr2002,gr2001,en2016,en2015,en2014,en2013,en2012,en2011,en2010,en2009,en2008,en2007,en2006,en2005,en2004,en2003,en2002,en2001
0,101116,for-profit,205.0,294.0,220.0,260.0,207.0,236.0,121.0,185.0,124.0,99.0,99.0,114.0,144.0,84.0,97.0,147.0,1990.0,2164.0,2326.0,2562.0,2454.0,2706.0,2146.0,1846.0,1736.0,1512.0,1352.0,1454.0,1278.0,1026.0,942.0,374.0
1,101958,for-profit,9.0,30.0,30.0,407.0,9.0,15.0,4.0,16.0,10.0,14.0,6.0,2.0,20.0,10.0,12.0,24.0,68.0,204.0,328.0,338.0,316.0,302.0,266.0,198.0,120.0,140.0,126.0,166.0,210.0,236.0,246.0,131.0
2,103893,for-profit,1618.0,1661.0,1352.0,4877.0,4311.0,4144.0,3368.0,15936.0,11912.0,18526.0,10596.0,4496.0,5396.0,4310.0,3470.0,2044.0,2404.0,2312.0,2234.0,2062.0,2200.0,3222.0,3636.0,16608.0,13302.0,11862.0,11142.0,12226.0,5970.0,5352.0,3018.0,2441.0
3,105534,for-profit,9068.0,7694.0,7896.0,6237.0,4408.0,4582.0,4653.0,3625.0,2809.0,2310.0,2956.0,2404.0,1700.0,2014.0,554.0,1524.0,6394.0,6164.0,5762.0,5320.0,5442.0,5694.0,4762.0,3934.0,2034.0,1602.0,1692.0,1766.0,2688.0,2524.0,1366.0,648.0
4,105543,for-profit,3669.0,3712.0,3726.0,4049.0,3852.0,4591.0,3234.0,3320.0,1514.0,1352.0,2458.0,2212.0,1534.0,1878.0,143.0,1168.0,2808.0,2870.0,3122.0,2992.0,3324.0,3712.0,3590.0,3028.0,1474.0,1454.0,1470.0,1358.0,2260.0,2130.0,1280.0,447.0
5,105659,for-profit,3055.0,2522.0,2980.0,2732.0,2950.0,2941.0,2608.0,2278.0,710.0,804.0,1050.0,1134.0,1158.0,765.0,732.0,755.0,2192.0,2370.0,2096.0,2024.0,2368.0,2154.0,2228.0,1250.0,1088.0,944.0,912.0,818.0,1014.0,1044.0,956.0,494.0
6,106041,for-profit,4190.0,4469.0,4696.0,6117.0,7323.0,5811.0,4879.0,7246.0,6736.0,8868.0,9124.0,8420.0,7108.0,6566.0,7808.0,7034.0,5820.0,6462.0,6578.0,7188.0,8000.0,8704.0,6178.0,6012.0,6072.0,7536.0,8852.0,9108.0,9128.0,8388.0,6938.0,2957.0
7,108232,for-profit,5754.0,5524.0,5207.0,4269.0,3458.0,3100.0,2140.0,1833.0,1530.0,1665.0,1428.0,1510.0,1049.0,919.0,1132.0,660.0,34480.0,37070.0,39612.0,43532.0,44562.0,44472.0,42098.0,36930.0,29912.0,25546.0,21458.0,15354.0,16830.0,17400.0,16086.0,7289.0
8,111009,for-profit,925.0,1249.0,1558.0,1681.0,2348.0,2133.0,1608.0,2852.0,3260.0,2993.0,3304.0,2422.0,3995.0,2576.0,1902.0,1936.0,906.0,1178.0,1322.0,1784.0,2032.0,2542.0,2652.0,2474.0,3264.0,5070.0,6972.0,7902.0,6976.0,3314.0,2394.0,839.0
9,114123,for-profit,1247.0,1696.0,2794.0,4215.0,3020.0,2910.0,4418.0,3124.0,1824.0,2170.0,2128.0,2084.0,2028.0,2105.0,1112.0,3286.0,1466.0,1362.0,1126.0,1322.0,1544.0,1874.0,1846.0,1694.0,1802.0,1854.0,2050.0,2188.0,2182.0,2096.0,2370.0,1183.0
10,114354,for-profit,7273.0,7481.0,7954.0,9230.0,9095.0,8397.0,7031.0,6767.0,5725.0,5449.0,5466.0,3363.0,3838.0,3584.0,2242.0,2582.0,7642.0,8234.0,9300.0,10398.0,11598.0,11586.0,11850.0,12220.0,11858.0,11134.0,10060.0,9468.0,8912.0,8540.0,8262.0,3564.0
11,117113,for-profit,1725.0,1455.0,1632.0,2085.0,1639.0,1868.0,1410.0,1401.0,742.0,443.0,455.0,253.0,379.0,236.0,313.0,286.0,3914.0,4722.0,5288.0,5564.0,5918.0,5648.0,5752.0,6106.0,6336.0,5824.0,4772.0,4340.0,3908.0,2576.0,1356.0,638.0
12,117928,for-profit,1154.0,879.0,997.0,1128.0,1268.0,1312.0,1195.0,941.0,594.0,333.0,359.0,378.0,157.0,10.0,12.0,16.0,2240.0,2904.0,3634.0,4160.0,4600.0,4322.0,4184.0,4446.0,4498.0,4816.0,4998.0,5612.0,2974.0,1348.0,958.0,408.0
13,118198,for-profit,1145.0,1524.0,1887.0,1893.0,3921.0,2458.0,2316.0,2126.0,2074.0,1878.0,1916.0,2646.0,2756.0,3178.0,2160.0,1285.0,2534.0,2900.0,3066.0,1624.0,1588.0,1858.0,1824.0,1596.0,1528.0,1632.0,2140.0,1630.0,1488.0,1686.0,3242.0,1444.0
