,name,Rank,UNITID
0,Princeton University,1,186131
1,Harvard University,2,166027
2,University of Chicago,3,144050
3,Yale University,3,130794
4,Stanford University,5,243744
5,Massachusetts Institute of Technology,7,166683
6,Duke University,8,198419
7,University of Pennsylvania,8,215062
8,Johns Hopkins University,10,162928
9,Dartmouth College,11,182670
10,California Institute of Technology,12,110404
11,Northwestern University,12,147767
12,Northwestern University,12,167358
13,Brown University,14,217156
14,Cornell University,15,190415
15,Rice University,15,227757
16,University of Notre Dame,15,152080
17,Vanderbilt University,15,221999
18,Washington University in St. Louis,19,179867
19,Emory University,20,139658
20,Georgetown University,20,131496
21,University of California--Berkeley,20,110635
22,University of Southern California,23,123961
23,Carnegie Mellon University,24,211440
24,University of California--Los Angeles,24,110662
25,Tufts University,27,168148
26,University of Michigan--Ann Arbor,27,170976
27,Wake Forest University,27,199847
28,Boston College,31,164924
29,University of Rochester,32,195030
30,Brandeis University,34,165015
31,New York University,36,193900
32,Case Western Reserve University,37,201645
33,University of California--Santa Barbara,37,110705
34,Boston University,39,164988
35,Northeastern University,39,147767
36,Northeastern University,39,167358
37,Rensselaer Polytechnic Institute,39,194824
38,University of California--Irvine,39,110653
39,Lehigh University,44,213543
40,University of California--Davis,44,110644
41,University of California--San Diego,44,110680
42,University of Miami,44,135726
43,University of Wisconsin--Madison,44,240444
44,Pepperdine University,50,121150
45,University of Florida,50,134130
46,Villanova University,50,216597
47,George Washington University,56,131469
48,Southern Methodist University,56,228246
49,University of Georgia,56,139959
50,Fordham University,60,191241
51,Syracuse University,60,196413
52,University of Connecticut,60,129020
53,University of Maryland--College Park,60,163286
54,Worcester Polytechnic Institute,60,168421
55,Clemson University,66,217882
56,Yeshiva University,66,197708
57,Brigham Young University--Provo,68,230038
58,Rutgers University--New Brunswick,70,186380
59,Baylor University,71,223232
60,Stevens Institute of Technology,71,186867
61,University of Minnesota--Twin Cities,71,174066
62,American University,74,131159
63,Clark University,74,153126
64,Clark University,74,165334
65,Texas A&M University--College Station,74,228723
66,University of Massachusetts--Amherst,74,166629
67,Miami University--Oxford,79,204024
68,University of California--Santa Cruz,79,110714
69,University of Delaware,79,130943
70,Colorado School of Mines,82,126775
71,Michigan State University,82,171100
72,Texas Christian University,82,228875
73,University of Iowa,82,153658
74,Indiana University--Bloomington,86,151351
75,Marquette University,86,239105
76,University of Denver,86,127060
77,University of San Diego,86,122436
78,University of Tulsa,86,207971
79,Florida State University,92,134097
80,University of Vermont,92,231174
81,Drexel University,96,212054
82,Saint Louis University,96,179159
83,Auburn University,99,100858
84,Loyola University Chicago,99,146719
85,SUNY College of Environmental Science and Forestry,99,196103
