,UNITID,TYPE,1516_ASSETS,1516_EXPENSES,1516_REVENUE,1516_RESEARCH,1415_ASSETS,1415_EXPENSES,1415_REVENUE,1415_RESEARCH,1314_ASSETS,1314_EXPENSES,1314_REVENUE,1314_RESEARCH,1213_ASSETS,1213_EXPENSES,1213_REVENUE,1213_RESEARCH,1112_ASSETS,1112_EXPENSES,1112_REVENUE,1112_RESEARCH,1011_ASSETS,1011_EXPENSES,1011_REVENUE,1011_RESEARCH,0910_ASSETS,0910_EXPENSES,0910_REVENUE,0910_RESEARCH,0809_ASSETS,0809_EXPENSES,0809_REVENUE,0809_RESEARCH,0708_ASSETS,0708_EXPENSES,0708_REVENUE,0708_RESEARCH,0607_ASSETS,0607_EXPENSES,0607_REVENUE,0607_RESEARCH,0506_ASSETS,0506_EXPENSES,0506_REVENUE,0506_RESEARCH,0405_ASSETS,0405_EXPENSES,0405_REVENUE,0405_RESEARCH,0304_ASSETS,0304_EXPENSES,0304_REVENUE,0304_RESEARCH,0203_ASSETS,0203_EXPENSES,0203_REVENUE,0203_RESEARCH,0102_ASSETS,0102_EXPENSES,0102_REVENUE,0102_RESEARCH
0,101116,for-profit,6025445.0,10891402.0,11317002.0,0,7603406.0,11025416.0,11503337.0,0,8944840.0,12212364.0,12504397.0,0,10813412.0,12121257.0,14411871.0,0,10028567.0,11137822.0,13890612.0,0,9104536.0,10052013.0,13356290.0,0,9453831.0,8787685.0,11891254.0,0,5425518.0,7893317,10407556,0,3248900.0,7235971,8537021,0,2969043.0,5588259,7015777,0,2830129.0,5029258,6104507,0,2557168.0,4123624,5031731,0,2145106.0,3657383,4592033,0,1582245,2713046,3609356,0,572704.0,2159164.0,2548418.0,0.0
1,101365,for-profit,3745210.0,4492223.0,4217235.0,0,10246219.0,4081978.0,3924007.0,0,10464045.0,4134845.0,4097170.0,0,10776084.0,4479027.0,3939339.0,0,12104793.0,5105480.0,5769720.0,0,11507266.0,5479788.0,6471926.0,0,10547862.0,4715206.0,5777394.0,0,9629431.0,4106984,4110428,0,9578697.0,4197693,4757302,0,8951389.0,3877914,4316878,0,8504529.0,3568010,4077344,0,7983434.0,3759546,4080882,0,7734815.0,3693448,4264904,0,7714476,3858512,4609825,0,7714476.0,3858512.0,4609825.0,0.0
2,101958,for-profit,4361215.0,1426307.0,1040514.0,0,5462641.0,2988188.0,2319008.0,0,5903018.0,3507120.0,3124371.0,0,4181959.0,2334607.0,1858471.0,0,3527971.0,1927459.0,1504273.0,0,164000.0,804111.0,986212.0,0,146339.0,799087.0,955134.0,0,222221.0,689034,746359,0,209408.0,717559,696859,0,279679.0,670981,508790,0,224185.0,586488,354300,0,539517.0,481615,467067,0,582464.0,639119,613230,0,555792,692159,650059,0,131391.0,628051.0,616689.0,0.0
3,102845,for-profit,52791820.0,45274648.0,51566612.0,0,42118552.0,48105162.0,54860519.0,0,34581821.0,51210926.0,52202708.0,0,34717424.0,54489602.0,60699035.0,0,29754837.0,48071641.0,56271493.0,0,20428724.0,36763228.0,38524166.0,0,42437792.0,19302388.0,22240394.0,0,13420196.0,9109403,11952090,0,10545413.0,6274765,7125257,0,9374506.0,4885044,5247946,0,9182062.0,666963,813672,0,4793357.0,3986343,5222061,0,4049105.0,3974746,4839242,0,4049105,3974746,4839242,0,3752022.0,4109287.0,4912244.0,0.0
4,103501,for-profit,5510099.0,5386258.0,5490979.0,0,5671119.0,5644679.0,6008968.0,0,5664024.0,5504191.0,5802243.0,0,5103703.0,5094256.0,4767101.0,0,5503626.0,5091887.0,5423073.0,0,5404789.0,4482016.0,4955826.0,0,,3586170.0,3887650.0,0,,3430338,3496350,0,2905741.0,3259153,3464731,0,3248676.0,2693407,3054137,0,2212895.0,2687184,3094034,0,2001655.0,2175063,2910063,0,1909516.0,1995953,2626059,0,1667868,1923301,2300526,0,1691728.0,1744942.0,2382163.0,0.0
5,103811,for-profit,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,8877295.0,9463497.0,0,,5911207,6125057,0,7726021.0,5523901,5353209,0,2242352.0,5539649,5574957,0,2174259.0,5642772,5643995,0,2186201.0,6114186,6222282,0,2145688.0,5033229,5259510,0,1774113,4839188,4998817,0,1730692.0,4832715.0,4992373.0,801174.0
6,103893,for-profit,,,,0,,,,0,,,,0,107925000.0,122452609.0,76583260.0,0,120442052.0,92322399.0,79516828.0,0,134562878.0,87515175.0,102412556.0,0,128176874.0,80929294.0,104571445.0,0,84454797.0,46256876,58140707,0,56157783.0,40087620,47436609,0,44662638.0,31851308,35910930,0,35157559.0,26143562,31179031,0,27779361.0,23793747,29946327,0,16232327.0,11100268,14659790,0,3913428,2774657,3493591,0,3913428.0,2774657.0,3493591.0,0.0
7,103954,for-profit,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,598526.0,710622.0,0,,551641,539441,0,565097.0,498325,540620,0,581254.0,510747,479295,0,633396.0,562219,543582,0,666916.0,627599,784823,0,470697.0,614671,765404,0,470697,614671,765404,0,340473.0,552507.0,693477.0,0.0
8,104188,for-profit,4107305.0,5729584.0,6039688.0,0,4034182.0,6622882.0,6698642.0,0,4731501.0,7534128.0,7674266.0,0,4730718.0,7726012.0,7963957.0,0,4711040.0,7557142.0,8188464.0,0,4647703.0,7648318.0,7757075.0,0,4622571.0,7321236.0,7553440.0,0,4612341.0,6710523,7937550,0,4612341.0,6710523,7937550,0,4577128.0,6531174,6719452,0,4135477.0,5905621,6491884,0,3778827.0,5264392,6178700,0,3849657.0,4829869,6124230,0,8169228,3838361,5216161,0,1233230.0,4602580.0,4700431.0,0.0
9,104364,for-profit,1813696.0,6646936.0,6388896.0,0,2279572.0,8687180.0,9469108.0,0,7600974.0,10374894.0,10719203.0,0,8973698.0,11548534.0,11848852.0,0,10531146.0,18455852.0,12070908.0,0,13415937.0,12510775.0,13899513.0,0,14938570.0,10102601.0,10882641.0,0,13366158.0,6331913,6281216,0,10391985.0,4874196,4059921,0,9366118.0,4019150,4275381,0,971641.0,4720144,5143700,0,816038.0,4521381,4671486,0,517217.0,4892752,5118136,0,1221690,4482224,4699142,0,1233230.0,4595216.0,4700431.0,0.0
