,name,Rank,UNITID
0,Princeton University,1,186131
1,Harvard University,2,166027
2,University of Chicago,3,144050
3,Yale University,3,130794
4,Stanford University,5,243744
5,Massachusetts Institute of Technology,7,166683
6,Duke University,8,198419
7,University of Pennsylvania,8,215062
8,Johns Hopkins University,10,162928
9,Dartmouth College,11,182670
10,California Institute of Technology,12,110404
11,Northwestern University,12,147767
12,Northwestern University,12,167358
13,Brown University,14,217156
14,Cornell University,15,190415
15,Rice University,15,227757
16,University of Notre Dame,15,152080
17,Vanderbilt University,15,221999
18,Washington University in St. Louis,19,179867
19,Emory University,20,139658
20,Georgetown University,20,131496
21,University of California--Berkeley,20,110635
22,University of Southern California,23,123961
23,Carnegie Mellon University,24,211440
24,University of California--Los Angeles,24,110662
25,Tufts University,27,168148
26,University of Michigan--Ann Arbor,27,170976
27,Wake Forest University,27,199847
28,Boston College,31,164924
29,University of Rochester,32,195030
30,Brandeis University,34,165015
31,New York University,36,193900
32,Case Western Reserve University,37,201645
33,University of California--Santa Barbara,37,110705
34,Boston University,39,164988
35,Northeastern University,39,147767
36,Northeastern University,39,167358
37,Rensselaer Polytechnic Institute,39,194824
38,University of California--Irvine,39,110653
39,Lehigh University,44,213543
40,University of California--Davis,44,110644
41,University of California--San Diego,44,110680
42,University of Miami,44,135726
43,University of Wisconsin--Madison,44,240444
44,Pepperdine University,50,121150
45,University of Florida,50,134130
46,Villanova University,50,216597
47,George Washington University,56,131469
48,Southern Methodist University,56,228246
49,University of Georgia,56,139959
50,Fordham University,60,191241
51,Syracuse University,60,196413
52,University of Connecticut,60,129020
53,University of Maryland--College Park,60,163286
54,Worcester Polytechnic Institute,60,168421
55,Clemson University,66,217882
56,Yeshiva University,66,197708
57,Brigham Young University--Provo,68,230038
58,Rutgers University--New Brunswick,70,186380
59,Baylor University,71,223232
60,Stevens Institute of Technology,71,186867
61,University of Minnesota--Twin Cities,71,174066
62,American University,74,131159
63,Clark University,74,153126
64,Clark University,74,165334
65,Texas A&M University--College Station,74,228723
66,University of Massachusetts--Amherst,74,166629
67,Miami University--Oxford,79,204024
68,University of California--Santa Cruz,79,110714
69,University of Delaware,79,130943
70,Colorado School of Mines,82,126775
71,Michigan State University,82,171100
72,Texas Christian University,82,228875
73,University of Iowa,82,153658
74,Indiana University--Bloomington,86,151351
75,Marquette University,86,239105
76,University of Denver,86,127060
77,University of San Diego,86,122436
78,University of Tulsa,86,207971
79,Florida State University,92,134097
80,University of Vermont,92,231174
81,Drexel University,96,212054
82,Saint Louis University,96,179159
83,Auburn University,99,100858
84,Loyola University Chicago,99,146719
85,SUNY College of Environmental Science and Forestry,99,196103
86,Illinois Institute of Technology,103,145725
87,University of Oregon,103,209551
88,Rochester Institute of Technology,107,195003
89,University of San Francisco,107,122612
90,Iowa State University,111,153603
91,University of Dayton,111,202480
92,University of Nebraska--Lincoln,111,181464
93,University of the Pacific,111,120883
94,University of Utah,111,230764
95,Michigan Technological University,118,171128
96,Seton Hall University,118,186584
97,Temple University,118,216339
98,University of California--Riverside,118,110671
99,University of Kansas,118,155317
100,University of St. Thomas,118,174914
101,University of St. Thomas,118,227863
102,DePaul University,124,144740
103,Duquesne University,124,212106
104,Howard University,124,131520
105,University of Arizona,124,104179
106,Arizona State University--Tempe,129,104151
107,Clarkson University,129,190044
108,Hofstra University,133,191649
109,University of Kentucky,133,157085
110,Kansas State University,135,155399
111,Mercer University,135,140447
112,New Jersey Institute of Technology,135,185828
113,Rutgers University--Newark,135,186399
114,University of Arkansas,135,106397
115,University of Mississippi,135,176017
116,George Mason University,143,232186
117,Oregon State University,143,209542
118,Washington State University,143,236939
119,Adelphi University,146,188429
120,San Diego State University,146,122409
121,Illinois State University,152,145813
122,Immaculata University,152,213011
123,University of California--Merced,152,445188
124,University of La Verne,152,117140
125,University of Massachusetts--Lowell,152,166513
126,Seattle Pacific University,159,236577
127,University of Maryland--Baltimore County,159,163268
128,University of Rhode Island,159,217484
129,Biola University,164,110097
130,Virginia Commonwealth University,164,234030
131,Union University,169,221971
132,Edgewood College,171,238661
133,Florida Institute of Technology,171,133881
134,University of Idaho,171,142285
135,University of Louisville,171,157289
136,University of Wyoming,171,240727
137,Ball State University,176,150136
138,Lipscomb University,176,219976
139,Mississippi State University,176,176080
140,Montclair State University,176,185590
141,Texas Tech University,176,229115
142,University of Central Florida,176,132903
143,Andrews University,183,168740
144,Azusa Pacific University,183,109785
145,University of Maine,183,161253
146,West Virginia University,183,238032
147,Widener University,183,216852
148,Robert Morris University,188,215655
149,Suffolk University,188,168005
150,University of Hartford,188,129525
151,University of Houston,194,225511
152,Western Michigan University,194,172699
153,Indiana University-Purdue University--Indianapolis,197,151111
154,Lesley University,197,166452
155,University of Nevada--Reno,197,182290
156,California State University--Fullerton,202,110565
157,Central Michigan University,202,169248
158,Louisiana Tech University,202,159647
159,South Dakota State University,202,219356
160,University of North Dakota,202,200280
161,University of South Dakota,202,219471
162,East Carolina University,210,198464
163,Montana State University,210,180461
164,Old Dominion University,210,232982
165,University of Missouri--Kansas City,210,178402
166,Ashland University,214,201104
167,Dallas Baptist University,214,224226
168,Northern Illinois University,214,147703
169,Nova Southeastern University,214,136215
170,Southern Illinois University--Carbondale,214,149222
171,Benedictine University,220,145619
172,California State University--Fresno,220,110556
173,Gardner-Webb University,220,198561
174,Shenandoah University,220,233541
175,Tennessee Technological University,220,221847
176,University of Massachusetts--Boston,220,166638
177,University of Massachusetts--Dartmouth,220,167987
178,University of Missouri--St. Louis,220,178420
179,University of Southern Mississippi,220,176372
180,Utah State University,220,230728
